I,Q
-0.54072,0.8155
-0.73355,-0.1591
0.48327,0.047307
0.068857,1.1689
-0.7426,-0.27778
-0.54431,-1.2225
-0.46893,-1.1466
-0.66507,-0.75519
-0.21788,0.86856
0.40749,0.49899
-0.33427,-0.20294
-0.74715,0.6937
0.62723,0.15587
1.2097,-0.48508
1.1327,-0.52509
1.0122,-0.053364
-0.43824,0.93197
-0.81909,0.03553
0.5384,0.037284
0.17434,1.1625
-0.78872,-0.16394
-0.75054,-1.0473
-0.65184,-1.057
-0.78055,-0.68869
-0.060385,0.92063
0.48506,0.41625
-0.38305,-0.13475
-0.63921,0.82466
0.62739,0.046832
1.0437,-0.6203
1.0408,-0.64714
1.0234,-0.17775
-0.3038,0.93546
-0.77905,0.089415
0.4974,-0.091578
0.37088,1.062
-0.82328,-0.091599
-0.83287,-0.95882
-0.81609,-0.91407
-0.87036,-0.53064
0.13288,0.86027
0.5241,0.35079
-0.39373,-0.021518
-0.56905,0.88432
0.6282,-0.011228
1.0562,-0.74226
1.0032,-0.78056
0.98627,-0.29746
-0.23425,0.99026
-0.71342,0.14568
0.45666,-0.16333
0.43724,1.0773
-0.80138,-0.021784
-0.9383,-0.9481
-0.88013,-0.86139
-0.87187,-0.471
0.16394,0.93352
0.55829,0.28821
-0.37862,-0.093836
-0.46661,0.94852
0.62388,-0.058125
0.97234,-0.82083
0.88813,-0.82528
0.93867,-0.39725
-0.090653,0.95554
-0.7331,0.20741
0.41336,-0.18025
0.51045,1.0443
-0.78582,0.10415
-1.0073,-0.86956
-0.93964,-0.81689
-0.90239,-0.36331
0.23737,0.87406
0.58131,0.24317
-0.39329,0.0002274
-0.35463,0.98257
0.61675,-0.10842
0.92621,-0.85555
0.82431,-0.90221
0.92101,-0.45127
-0.01559,1.0049
-0.7129,0.27693
0.44032,-0.23585
0.56934,0.97308
-0.79742,0.11872
-1.0025,-0.72963
-1.019,-0.6892
-0.97149,-0.29441
0.29855,0.80796
0.59005,0.16135
-0.37999,0.034103
-0.24722,1.0216
0.61318,-0.10718
0.84262,-0.94904
0.7691,-0.89411
0.87719,-0.52431
0.085934,0.98072
-0.6659,0.33051
0.42026,-0.27873
0.69941,0.86035
-0.71829,0.20056
-1.1126,-0.63277
-1.0929,-0.56691
-0.93656,-0.17481
0.38658,0.76731
0.61095,0.11417
-0.36001,0.033468
-0.19187,1.0322
0.55888,-0.1112
0.72867,-1.0604
0.64528,-1.0711
0.80025,-0.60639
0.16738,0.98206
-0.63653,0.42764
0.37914,-0.28577
0.81862,0.87341
-0.71939,0.30194
-1.1516,-0.50461
-1.0836,-0.49567
-1.0128,-0.081742
0.48023,0.7664
0.62566,0.05918
-0.35738,0.055986
-0.10456,1.0288
